Date,Merchant,Amount,Currency,Markup
2026-04-02,AMZN MKTPL*78291,1450,INR,0
2026-04-04,ZOMATO*ORDER8821,620,INR,0
2026-04-06,UBER INDIA TRIP,280,INR,0
2026-04-08,NETFLIX.COM INDIA,649,INR,0
2026-04-10,JIO MOBILE BILL,599,INR,0
2026-04-15,AMZN MKTPL*91234,890,INR,0
2026-04-18,SPOTIFY PTE LTD,119,INR,0
2026-04-22,APOLLO PHARMACY,750,INR,0
2026-05-02,AMZN MKTPL*45678,2100,INR,0
2026-05-05,ZOMATO*ORDER3344,540,INR,0
2026-05-07,UBER INDIA TRIP,310,INR,0
2026-05-08,NETFLIX.COM INDIA,649,INR,0
2026-05-10,JIO MOBILE BILL,599,INR,0
2026-05-15,SPOTIFY PTE LTD,119,INR,0
2026-05-18,BOOKMYSHOW ONLINE,950,INR,0
2026-05-22,AMZN MKTPL*56789,760,INR,0
2026-06-02,AMZN MKTPL*67890,1800,INR,0
2026-06-05,ZOMATO*ORDER7788,680,INR,0
2026-06-07,UBER INDIA TRIP,295,INR,0
2026-06-08,NETFLIX.COM INDIA,649,INR,0
2026-06-10,JIO MOBILE BILL,599,INR,0
2026-06-15,SPOTIFY PTE LTD,119,INR,0
2026-06-20,AMAZON US,85,USD,0
2026-06-20,FOREIGN TRANSACTION MARKUP,255,INR,0
