Date,Merchant,Amount,Currency,Markup
2026-01-03,FLIPKART*ORD12345,2350,INR,0
2026-01-06,SWIGGY INSTAMART,780,INR,0
2026-01-09,OLA CABS INDIA,340,INR,0
2026-01-12,PRIME VIDEO,299,INR,0
2026-01-15,AIRTEL MOBILE,799,INR,0
2026-01-18,APOLLO HOSPITAL,1250,INR,0
2026-01-22,COURSERA COURSE,1499,INR,0
2026-02-02,FLIPKART*ORD56789,1850,INR,0
2026-02-05,SWIGGY INSTAMART,450,INR,0
2026-02-08,OLA CABS INDIA,280,INR,0
2026-02-12,PRIME VIDEO,299,INR,0
2026-02-15,AIRTEL MOBILE,799,INR,0
2026-02-18,APOLLO HOSPITAL,850,INR,0
2026-02-22,COURSERA COURSE,999,INR,0
2026-03-03,FLIPKART*ORD99887,3200,INR,0
2026-03-06,SWIGGY INSTAMART,620,INR,0
2026-03-09,OLA CABS INDIA,360,INR,0
2026-03-12,PRIME VIDEO,299,INR,0
2026-03-15,AIRTEL MOBILE,799,INR,0
2026-03-20,COURSERA COURSE,1299,INR,0
2026-03-25,BOOKING.COM HOTEL,6500,INR,0
2026-03-28,AMAZON DE,110,EUR,0
2026-03-28,FOREIGN EXCHANGE MARKUP,330,INR,0
